lambda,seed,rmse_mean,std_t_mean,mae_mean,effort_mean,ci_cov_mean,ece,signed_bias
0.0,0,3.6289132127100587,0.5194501262325588,0.6165291944738158,0.8,0.898775,0.014837500000000003,-0.004837499999999972
0.0,1,3.6195543529563152,0.6091535511496939,0.6775000152638512,0.7999625975544291,0.9205,0.03398000000000002,-0.007844999999999996
0.0,2,3.6275812003146366,0.7389610188867088,0.8295305437228732,0.7949909939874295,0.9007999999999999,0.04777000000000002,-0.04727999999999998
0.0,3,3.5357175864421153,0.4121663234725899,0.48531507797791684,0.7999999999999997,0.8882750000000001,0.01980499999999998,-0.01980499999999998
0.0,4,3.5457294202755407,0.434845510182769,0.5055400508282197,0.7989975715372588,0.8966749999999999,0.015774999999999983,0.006485000000000007
0.1,0,3.62894084078233,0.5193376892457008,0.6181816417163867,0.799317045381253,0.891525,0.015000000000000003,-0.011524999999999975
0.1,1,3.6195732323012213,0.6091260845560043,0.677340393646596,0.8,0.9197500000000002,0.03432000000000001,-0.008255000000000007
0.1,2,3.6275135638758416,0.7390183207290386,0.8276615608912087,0.7978515921221292,0.90125,0.04771000000000001,-0.04716499999999999
0.1,3,3.5356824059713587,0.4121994503697902,0.4842426281564812,0.7999999999999998,0.8867750000000001,0.020124999999999994,-0.020124999999999994
0.1,4,3.5456655986941024,0.434878787097451,0.5050729626315078,0.7994164624734293,0.8978750000000001,0.016022499999999988,0.007377500000000009
0.3,0,3.6288721806091484,0.5193710873269578,0.6175086371143166,0.7995071200061219,0.891725,0.014677499999999993,-0.01157249999999999
0.3,1,3.6195516987439036,0.608999707925666,0.6721731391800706,0.7999999999999998,0.9183249999999998,0.03315000000000002,-0.009049999999999985
0.3,2,3.627445393057312,0.7389464412407488,0.8239562685604269,0.7998901930357053,0.8997749999999999,0.04782750000000001,-0.047612499999999995
0.3,3,3.5355602860997375,0.41212907659285364,0.4821885603820936,0.8,0.8857250000000001,0.020397500000000013,-0.020397500000000013
0.3,4,3.545533317664736,0.43494377533971795,0.5026935150587534,0.7999357271253473,0.89685,0.015510000000000001,0.006410000000000004
1.0,0,3.6286883323452717,0.5193934614707338,0.6124489478844329,0.8,0.8893,0.01478999999999997,-0.012399999999999967
1.0,1,3.6194991073616247,0.6089750088957104,0.6699780484765793,0.8,0.9183000000000001,0.032680000000000015,-0.008259999999999995
1.0,2,3.6274501493604583,0.7388129400630064,0.8183429049972868,0.7999999999999997,0.898775,0.04784499999999998,-0.04784499999999998
1.0,3,3.535429613728495,0.4121021566633823,0.4797248121751222,0.7999999999999998,0.8823000000000001,0.021777499999999995,-0.021777499999999995
1.0,4,3.545436020997105,0.4350061233858741,0.49937852420254136,0.8,0.896175,0.015205000000000002,0.006820000000000026
3.0,0,3.6287363441450906,0.5193985562660641,0.6089275285746727,0.7999999999999997,0.896325,0.013469999999999977,-0.005550000000000005
3.0,1,3.6194440675638035,0.6088150641609764,0.6641878803327818,0.7999999999999992,0.9169749999999999,0.03124500000000004,-0.009969999999999974
3.0,2,3.6274142517402295,0.7386680812801033,0.8151165434770726,0.8,0.8992499999999999,0.04784499999999998,-0.04784499999999998
3.0,3,3.535195020318195,0.4120938683257541,0.4755097107033916,0.8,0.8810999999999999,0.02308,-0.02308
3.0,4,3.5452738053013166,0.43497159118639794,0.4967434404829627,0.7999999999999994,0.8948999999999999,0.014439999999999991,0.005335000000000018
