lambda_e,train_seed,eval_seed,rmse_mean,effort_mean,mae_mean,uniform_mean,ece
0.0,0,0,3.74232611960362,0.00011918171803699806,0.4387262800181476,0.46012384366949993,0.031972499999999994
0.0,0,1,3.730494672518406,0.0,0.47510520225828806,0.5519546572492297,0.04167249999999998
0.0,0,2,3.7341817475911223,1.055777771398425e-05,0.6047500866605184,0.6867013428230935,0.02961999999999999
0.0,0,3,3.6501764047698635,0.0,0.33719147546622813,0.3548330044700343,0.0321125
0.0,0,4,3.6620857499701236,0.0,0.35436700177351876,0.37606487319395604,0.04484749999999997
0.0,1,0,3.7249274404277566,0.09638045497238636,0.47963627437682815,0.46254962566160457,0.037024999999999995
0.0,1,1,3.711064260291018,0.09682541273534298,0.5241534387235144,0.553833266778937,0.03763249999999999
0.0,1,2,3.713070198127314,0.09743473924696446,0.6629293224890133,0.6880629342308378,0.0595
0.0,1,3,3.634390973098833,0.09687062121927738,0.36934234188124604,0.35707592681127287,0.042949999999999995
0.0,1,4,3.6456421935828995,0.09618459343910217,0.386748319817697,0.3783457269868433,0.022214999999999985
0.0,2,0,3.7044158017522437,0.1859433037042618,0.4337428886854991,0.4648029708439772,0.0344425
0.0,2,1,3.6907252709611957,0.18710095092654228,0.4683528255151451,0.5556108140866186,0.046119999999999974
0.0,2,2,3.6934972523073797,0.18676471590995788,0.5915840525199504,0.6897698866418525,0.03437250000000001
0.0,2,3,3.6144012768995033,0.1871149592101574,0.33184940142141256,0.3593716645073269,0.035637499999999975
0.0,2,4,3.624720058747751,0.18645453438162804,0.34973789554079204,0.3803378992097713,0.04782249999999999
0.01,0,0,3.742290943019469,0.00030611607973696664,0.4388112597227506,0.46013181735648295,0.03196499999999998
0.01,0,1,3.7304929302031073,6.084361812099814e-06,0.47509659684102934,0.5519554374331146,0.041674999999999976
0.01,0,2,3.73416530874662,6.0991897480562326e-05,0.6047431340650405,0.6866962871439323,0.029602499999999976
0.01,0,3,3.6501764047698635,0.0,0.33719147546622813,0.3548330044700343,0.0321125
0.01,0,4,3.662071252344838,6.548631499754265e-05,0.35437324191102043,0.376069549038304,0.044807499999999965
0.01,1,0,3.7257381388013466,0.09014902547001839,0.47519709035896723,0.46173591782496964,0.032692499999999985
0.01,1,1,3.7118030290862434,0.09108546033501624,0.5198952234056218,0.5529361838357495,0.030909999999999993
0.01,1,2,3.7137827178127933,0.09172193497419358,0.6603384625767756,0.6871291833693931,0.053022499999999986
0.01,1,3,3.6352440411009646,0.0904054383188486,0.3662120012564279,0.3563665021167828,0.038602499999999984
0.01,1,4,3.64650351641063,0.08978611327707768,0.38304451703572234,0.3776127214612854,0.023719999999999984
0.01,2,0,3.702767564225951,0.19642929300665857,0.4339798516927575,0.4657325906474249,0.0345125
0.01,2,1,3.6891602262499696,0.19757209211587906,0.46851641128858373,0.5565104408035126,0.04603499999999998
0.01,2,2,3.692031931451654,0.19726410493254662,0.5917195150025417,0.6906049229898054,0.03429249999999999
0.01,2,3,3.612706000070789,0.19754689067602157,0.3320477495651034,0.36027263885394445,0.035604999999999984
0.01,2,4,3.6229907874514264,0.19692017301917075,0.3499800091065314,0.3812686202094521,0.047667499999999974
0.1,0,0,3.7423640287358584,0.0,0.4387379900878569,0.46013472794931404,0.031967499999999996
0.1,0,1,3.730494672518406,0.0,0.47510520225828806,0.5519546572492297,0.04167249999999998
0.1,0,2,3.7341853818163577,0.0,0.6047584447854427,0.6867024332663036,0.029600000000000015
0.1,0,3,3.6501764047698635,0.0,0.33719147546622813,0.3548330044700343,0.0321125
0.1,0,4,3.6620857499701236,0.0,0.35436700177351876,0.37606487319395604,0.04484749999999997
0.1,1,0,3.7284239980328193,0.07444574497640133,0.46858915068350854,0.46108911903159744,0.03111
0.1,1,1,3.715199171187206,0.07263895645737647,0.5114010331612578,0.552149923013718,0.024507499999999995
0.1,1,2,3.7177065987120876,0.07166548706591129,0.6508803145392327,0.686255577060699,0.044134999999999966
0.1,1,3,3.6374501616141983,0.07612376809120178,0.3611097562416709,0.3558286404732626,0.0328525
0.1,1,4,3.6489013878849557,0.0750559251010418,0.37761812723151295,0.3770490765652357,0.02552749999999998
0.1,2,0,3.705396900825349,0.17998503059148788,0.43365373167506727,0.4643696267396433,0.03443749999999999
0.1,2,1,3.6916786028925985,0.18114076152443886,0.46832107363139536,0.5552056941396195,0.04615499999999999
0.1,2,2,3.6944018386155335,0.18082779303193092,0.5915742574248687,0.6893973345936935,0.03437500000000001
0.1,2,3,3.6154024244963234,0.1810792925953865,0.33179009167648943,0.3589558904631952,0.03572499999999999
0.1,2,4,3.625738984857392,0.18047555789351463,0.349641753789363,0.3799113628289551,0.047902499999999994
